0,55395,1.5,13.8,0.187,0.027,20.9,53682,12.1,91.8
0,200111,9.8,18.7,0.096,0.046,27.7,50221,13.9,114.6
0,26887,-2.1,16.5,0.476,0.045,13.4,32911,26.7,31
0,22506,-1.8,14.8,0.221,0.021,12.1,36447,18.1,36.8
0,57719,0.7,17,0.018,0.087,12.1,44145,15.8,88.9
1,10764,-1.4,14.9,0.701,0.075,12.5,32033,21.6,17.5
0,20296,-3.1,18,0.44,0.012,14,29918,28.4,27
0,115916,-2.3,16,0.211,0.035,16.1,39962,21.9,195.7
0,34076,-0.3,18.3,0.395,0.02,11.8,32402,24.1,57.4
0,26037,0.2,20.9,0.046,0.015,12.8,34907,21.2,46.9
0,43931,0.7,15.2,0.106,0.077,12.9,41250,19.5,63
0,13323,-3.9,20.8,0.424,0.008,11.8,33941,21.5,15.2
0,24945,-3.5,18,0.442,0.013,11.2,29357,29.3,20.9
0,13552,-2.7,19.4,0.145,0.034,9.2,34002,19,23.1
0,15080,0.7,18.4,0.036,0.025,9,38019,18.4,26.7
0,50909,1.9,15.9,0.177,0.064,22.5,43768,18.6,73.6
0,54543,0.2,18.5,0.163,0.026,17.7,39077,17.9,91.8
0,12670,-4.2,20.4,0.462,0.018,8.8,24658,32.7,15.6
0,10886,-7.4,18.5,0.318,0.023,9.8,37277,20.9,17.7
0,37914,0.4,19.8,0.13,0.016,14.2,35869,20,36.6
0,13977,0.5,18,0.24,0.017,12.7,36275,19.1,22.8
0,81289,1.1,17.6,0.014,0.044,14.8,38847,18.8,109.4
0,49484,-1.5,15.4,0.197,0.061,17,44889,17.4,89.6
1,41711,-4.8,15.6,0.695,0.01,14.2,26519,35.5,44.8
0,71065,-0.1,15.7,0.021,0.142,10.7,37851,19.9,91.5
0,80977,2.1,14,0.212,0.027,21,54766,13.4,128.2
0,37733,-1.5,16.7,0.324,0.021,11.7,30687,25.4,40.5
0,103531,-0.9,17.3,0.155,0.037,14.8,38013,19,195.2
0,16874,-2.1,19.6,0.119,0.014,13.2,33838,19.9,27.5
0,31601,-0.3,15.9,0.046,0.161,11,36415,21.9,50
0,26712,-0.3,19.2,0.097,0.036,10.4,35625,21.2,46.6
1,8553,-5.4,17.9,0.805,0.01,12.8,24226,32.9,14
1,15184,-3.7,17.3,0.581,0.013,12.8,30051,26.6,24.5
0,17190,-0.6,20.8,0.273,0.026,16.6,41650,14.4,30.8
0,104193,2.6,16.1,0.267,0.033,19.7,40948,18,175.1
0,52665,-1.1,18.6,0.036,0.029,13,37634,16,49.4
1,660793,0.4,14.3,0.429,0.038,30,45429,18,592.5
0,14086,-3.3,20.5,0.113,0.014,9.5,36028,22.3,24.1
0,93096,0.4,18.2,0.104,0.024,21.1,42844,17.2,138.8
0,33477,-2.5,16.8,0.114,0.022,11.9,38551,17.5,49.7
0,154255,9.9,10.3,0.237,0.039,32.5,43542,22,230.8
0,90787,9.7,13.8,0.135,0.058,22.7,48619,14.7,147.8
1,10580,-6.4,17.4,0.729,0.012,14.4,26230,26.7,15.8
1,19425,-9.4,16.8,0.815,0.015,19.6,30724,27.3,35.2
0,350299,4.6,13.7,0.246,0.047,38.5,58434,12.8,417.7
1,20110,-4.4,18.6,0.51,0.024,17.4,35079,24,21.5
0,30271,-1.6,20.1,0.042,0.025,9.5,32888,20.9,41.5
0,94636,1.7,16.3,0.027,0.129,15.2,39526,19.5,164.4
0,415123,0.5,14.5,0.353,0.028,20.7,43028,19.8,335.9
0,21947,-4.9,17.9,0.411,0.012,10.6,29203,28.6,22.5
1,226189,-1.4,13.3,0.567,0.034,31.5,44790,21.2,292.5
0,119607,0.1,15.9,0.125,0.079,19.9,44800,15.7,206.3
1,9826,-7.1,17.9,0.675,0.013,10.4,28209,25.6,14.7
0,20365,3.1,17.8,0.402,0.041,11,28741,27.2,22.4
0,33389,1.5,14.1,0.369,0.022,23,33090,27.6,48.9
0,22539,-1.6,19.6,0.202,0.029,11.1,35213,24.5,39.5
